OTU_ID	Cleaned.NXT039.NC01	Cleaned.NXT039.NC02	Cleaned.NXT039.NC03	Cleaned.NXT039.NC04	Cleaned.NXT039.NC05	Cleaned.NXT039.NC06	Cleaned.NXT039.NC07	Cleaned.NXT039.NC08	Cleaned.NXT039.NC09	Cleaned.NXT039.NC10	Cleaned.NXT039.NC11	Cleaned.NXT039.NC12	Cleaned.NXT039.NC13	Cleaned.NXT039.NC14	Cleaned.NXT039.NC15	Cleaned.NXT039.NC16	Cleaned.NXT039.NC17	Cleaned.NXT039.NC18	Cleaned.NXT039.NC19	Cleaned.NXT039.NC20	Cleaned.NXT039.NC21	Cleaned.NXT039.NC22	Cleaned.NXT039.NC23	Cleaned.NXT039.NC24	Cleaned.NXT039.NC25	Cleaned.NXT039.NC26	Cleaned.NXT039.NC27	Cleaned.NXT039.NC28	Cleaned.NXT039.NC29	Cleaned.NXT039.NC30	Cleaned.NXT039.NC31	Cleaned.NXT039.NC32	Cleaned.NXT039.NC33	Cleaned.NXT039.NC34	Cleaned.NXT039.NC35	Cleaned.NXT039.NC36	Cleaned.NXT039.NC37	Cleaned.NXT039.NC38	Cleaned.NXT039.NC39	Cleaned.NXT039.NC40	Cleaned.NXT039.NC41	Cleaned.NXT039.NC42	Cleaned.NXT039.NC43	Cleaned.NXT039.NC44	Cleaned.NXT039.NC45	Cleaned.NXT039.NC46	Cleaned.NXT039.NC47	Cleaned.NXT039.NC48	Cleaned.NXT039.NC49	Cleaned.NXT039.NC50	Cleaned.NXT039.NC51	Cleaned.NXT039.NC52	Cleaned.NXT039.NC53	Cleaned.NXT039.NC54	Cleaned.NXT039.NC55	Cleaned.NXT039.NC56	Cleaned.NXT039.NC57	Cleaned.NXT039.NC58	Cleaned.NXT039.NC59	Cleaned.NXT039.NC60	Cleaned.NXT039.NC61	Cleaned.NXT039.NC62	Cleaned.NXT039.NC63	taxonomy
OTU_1003	0	0	0	10.94190064	0	4.089134578	33.62945984	0	0	0	0	0	0	0	274.9084081	0	2156.300249	1735.368234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.129544867	0	0	0	85.04431066	0	1.424476496	0	2.289000562	0	52.01507307	0	0	0	0	0	95.16885656	0	42.89927242	254.0947134	0	446.838742	12.34745723	36.24843301	0	0	0	no_match
OTU_1031	0	0	0	2963.245193	0	0	0	111.8746426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.88983624	0	0	0	0	82.69426556	0	21.51836612	17.75113383	0	0	27.78097833	0	0	0	0	0	0	0	0	2.3246201	0	46.95510109	0	0	0	0	0	0	0	0	0	0	0	0	684.7125226	0	0	0	no_match
OTU_1033	0	0	0	0	0	24.94085471	13.67440886	0	0	0	0	0	0	0	414.2555356	0	2819.061353	2542.362561	0	0	10.94443222	0	0	0	0	0	0	0	146.7569455	0	0	0	0	0	0	0	0	0	0	0	43.22589038	0	5.792205442	0	1.163441582	0	23.50040641	0	0	0	0	0	179.6672174	0	6.229892671	103.3199765	0	0	12.55180572	36.84833893	0	0	0	no_match
OTU_1036	0	0	0	0	0	99.919056	0	0	45.1998855	2735.049945	473.4747966	132.4287273	77.00224787	0	0	0	0	0	0	0	0	0	0	60.89331707	34.9341083	0	0	0	0	0	0	0	0	0	0	27.85140593	0	0	29.09239615	54.08662344	0	0	0	9.635941078	2.330513247	0	35.30560277	0	33.04748271	0	0	3.884000511	13.84211612	771.9207809	3.119805846	0	0	0	0	0	0	0	0	no_match
OTU_1040	0	0	0	2736.320137	0	0	0	60.54639845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.003270699	0	0	0	0	0	0	0	23.7884859	0	0	55.84438303	0	0	0	0	0	0	0	0	3.504654526	0	106.1860006	0	0	0	0	3.893871871	0	0	3.127734972	0	0	0	0	525.3946385	0	0	0	no_match
OTU_1052	0	0	0	0	0	37.71233458	0	0	63.68969931	4627.215362	561.4050119	1066.29168	124.0015787	0	0	0	0	0	0	0	0	0	0	49.03017546	10.04582125	0	0	0	0	0	0	0	0	0	0	14.01589888	0	0	0	18.14564638	0	0	0	0	2.345607838	0	11.84475833	0	0	0	0	0	13.93177065	458.6638885	0	0	0	0	0	0	0	0	0	no_match
OTU_1061	0	0	72.05285212	11.29451626	0	8.4418235	62.48377574	0	0	10.78950026	13.15143653	0	0	0	353.8749579	0	2220.154651	1317.12685	0	0	0	0	0	86.43046697	0	0	0	0	24.83668354	0	0	0	0	0	12.54426685	0	16.78305803	0	0	0	0	0	0	1.953859464	3.544149446	0	11.93140444	0	67.0096842	91.81993457	0	0	266.6399876	28.28688251	12.65192913	386.8677413	0	0	25.49073712	63.60818839	0	0	0	no_match
OTU_1062	0	0	0	11.30345534	0	4.224252401	0	0	0	21.59607926	32.90461315	0	0	0	327.4263513	0	3022.702343	1564.227562	0	253.1516163	0	0	0	0	0	0	0	0	49.71268118	0	0	0	0	0	0	0	25.19451153	0	0	0	29.28481374	0	1.471545664	0	0	0	77.61550927	0	0	0	0	0	154.492696	66.05496387	9.496456893	252.6473941	0	923.2073889	19.13318387	104.8493456	0	0	0	no_match
OTU_1090	0	0	0	7.686197547	0	4.308652196	46.06523366	26.78634811	28.06680277	44.05513	33.56204135	13.70523741	0	123.9502539	449.8348131	0	2680.452333	2169.13647	0	0	0	0	0	163.8503366	5.16482939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.731667743	0	0	0	1.994474505	3.617821978	0	97.43538837	0	0	0	0	0	300.8334612	38.49984574	38.74477751	625.8313048	0	0	0	76.38872603	0	0	0	no_match
OTU_1115	0	0	224.5030756	35.19157901	0	4.383854545	450.6658363	0	0	0	0	0	0	0	513.1632473	0	3107.64492	1988.120491	0	0	0	0	0	0	0	0	0	0	25.79547132	0	0	0	12.49261862	0	0	0	69.7237844	0	0	0	15.19563128	0	0	0	1.226988905	0	0	0	0	0	0	0	189.480663	19.58590715	59.13153159	449.4737213	0	0	218.4168838	38.86099974	0	0	0	no_match
