seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
OTU_133	19875	No terminal repeats	NA	18	11	0.9834	NA	11	26.5467	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_264	11675	No terminal repeats	NA	14	11	0.9833	NA	7	22.0776	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_444	8594	No terminal repeats	NA	13	11	0.9832	NA	8	20.7860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_256	12130	No terminal repeats	NA	16	11	0.9832	NA	8	26.5124	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1095	4937	No terminal repeats	NA	14	11	0.9832	NA	0	20.2511	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_184	15270	No terminal repeats	NA	19	11	0.9831	NA	12	27.5246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_707	6421	No terminal repeats	NA	6	11	0.9830	NA	3	9.3453	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_328	10153	No terminal repeats	NA	15	11	0.9828	NA	3	23.3823	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1098	4932	No terminal repeats	NA	4	11	0.9828	NA	3	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1085	4974	No terminal repeats	NA	8	11	0.9828	NA	3	13.2120	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_471	8318	No terminal repeats	NA	10	11	0.9828	NA	1	14.0885	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1784	3532	No terminal repeats	NA	8	11	0.9828	NA	1	12.8910	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_131	20390	No terminal repeats	NA	30	11	0.9827	NA	6	42.3393	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_41	39823	DTR	NA	59	11	0.9826	NA	12	85.0608	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_697	6473	No terminal repeats	NA	9	11	0.9826	NA	4	13.2363	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_825	5836	No terminal repeats	NA	10	11	0.9826	NA	1	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1093	4949	No terminal repeats	NA	5	11	0.9826	NA	4	8.0256	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_2022	3245	No terminal repeats	NA	4	15	0.9825	NA	0	6.2923	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1200	4664	No terminal repeats	NA	14	11	0.9825	NA	0	15.5076	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_128	20938	No terminal repeats	NA	21	11	0.9824	NA	6	29.8044	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1054	5080	No terminal repeats	NA	8	11	0.9824	NA	4	12.9643	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_227	13193	No terminal repeats	NA	14	11	0.9824	NA	8	20.0697	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1273	4464	No terminal repeats	NA	12	11	0.9824	NA	0	14.9683	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_448	8552	No terminal repeats	NA	13	11	0.9824	NA	8	20.7860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_10	50487	No terminal repeats	NA	81	11	0.9824	NA	18	115.0432	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Drexlerviridae
OTU_81	30709	No terminal repeats	NA	44	11	0.9823	NA	7	57.6038	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1407	4160	No terminal repeats	NA	8	11	0.9823	NA	3	9.7885	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1849	3439	No terminal repeats	NA	8	11	0.9823	NA	0	12.3836	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_244	12467	No terminal repeats	NA	19	11	0.9822	NA	13	25.1475	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_1180	4718	No terminal repeats	NA	6	11	0.9822	NA	2	7.5831	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_53	37911	No terminal repeats	NA	41	11	0.9822	NA	15	56.8640	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_616	6997	No terminal repeats	NA	14	11	0.9822	NA	2	16.8627	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_493	8062	No terminal repeats	NA	13	11	0.9822	NA	0	17.3244	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_746	6183	No terminal repeats	NA	7	11	0.9821	NA	2	11.6567	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_25	43512	DTR	NA	70	11	0.9821	NA	13	105.2021	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_11	50327	No terminal repeats	NA	62	11	0.9821	NA	13	81.7119	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_88	29646	No terminal repeats	NA	37	11	0.9821	NA	11	50.0939	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
OTU_241	12683	No terminal repeats	NA	19	11	0.9821	NA	9	26.1534	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
